object_type,object_name,metric_or_detail
TABLE,owners,10
TABLE,pets,13
TABLE,specialties,3
TABLE,types,6
TABLE,vet_specialties,5
TABLE,vets,6
TABLE,visits,4
INDEX,last_name,owners
INDEX,PRIMARY,owners
INDEX,name,pets
INDEX,owner_id,pets
INDEX,PRIMARY,pets
INDEX,type_id,pets
INDEX,name,specialties
INDEX,PRIMARY,specialties
INDEX,name,types
INDEX,PRIMARY,types
INDEX,specialty_id,vet_specialties
INDEX,vet_id,vet_specialties
INDEX,vet_id,vet_specialties
INDEX,last_name,vets
INDEX,PRIMARY,vets
INDEX,pet_id,visits
INDEX,PRIMARY,visits
USER,petclinic,%
