NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,RESOURCE LINK
capp-svc-lb,Load balancer,ME_env-petclinic-ext_rg-petclinic-migration_southeastasia,Southeast Asia,Azure subscription 1,https://portal.azure.com#resource/subscriptions/7b5be852-a743-449b-9bd1-834ed8a7148b/resourceGroups/ME_env-petclinic-ext_rg-petclinic-migration_southeastasia/providers/Microsoft.Network/loadBalancers/capp-svc-lb
capp-svc-lb-ip,Public IP address,ME_env-petclinic-ext_rg-petclinic-migration_southeastasia,Southeast Asia,Azure subscription 1,https://portal.azure.com#resource/subscriptions/7b5be852-a743-449b-9bd1-834ed8a7148b/resourceGroups/ME_env-petclinic-ext_rg-petclinic-migration_southeastasia/providers/Microsoft.Network/publicIPAddresses/capp-svc-lb-ip
env-petclinic-ext,Container Apps Environment,rg-petclinic-migration,Southeast Asia,Azure subscription 1,https://portal.azure.com#resource/subscriptions/7b5be852-a743-449b-9bd1-834ed8a7148b/resourceGroups/rg-petclinic-migration/providers/Microsoft.App/managedEnvironments/env-petclinic-ext
kv-petclinic-amit-02,Key vault,rg-petclinic-migration,Southeast Asia,Azure subscription 1,https://portal.azure.com#resource/subscriptions/7b5be852-a743-449b-9bd1-834ed8a7148b/resourceGroups/rg-petclinic-migration/providers/Microsoft.KeyVault/vaults/kv-petclinic-amit-02
NetworkWatcher_southeastasia,Network Watcher,NetworkWatcherRG,Southeast Asia,Azure subscription 1,https://portal.azure.com#resource/subscriptions/7b5be852-a743-449b-9bd1-834ed8a7148b/resourceGroups/NetworkWatcherRG/providers/Microsoft.Network/networkWatchers/NetworkWatcher_southeastasia
petclinic-app,Container App,rg-petclinic-migration,Southeast Asia,Azure subscription 1,https://portal.azure.com#resource/subscriptions/7b5be852-a743-449b-9bd1-834ed8a7148b/resourceGroups/rg-petclinic-migration/providers/Microsoft.App/containerApps/petclinic-app
petclinic-identity,Managed Identity,rg-petclinic-migration,Southeast Asia,Azure subscription 1,https://portal.azure.com#resource/subscriptions/7b5be852-a743-449b-9bd1-834ed8a7148b/resourceGroups/rg-petclinic-migration/providers/Microsoft.ManagedIdentity/userAssignedIdentities/petclinic-identity
petclinicacr14264,Container registry,rg-petclinic-migration,Southeast Asia,Azure subscription 1,https://portal.azure.com#resource/subscriptions/7b5be852-a743-449b-9bd1-834ed8a7148b/resourceGroups/rg-petclinic-migration/providers/Microsoft.ContainerRegistry/registries/petclinicacr14264
privatelink.mysql.database.azure.com,Private DNS zone,rg-petclinic-migration,Global,Azure subscription 1,https://portal.azure.com#resource/subscriptions/7b5be852-a743-449b-9bd1-834ed8a7148b/resourceGroups/rg-petclinic-migration/providers/Microsoft.Network/privateDnsZones/privatelink.mysql.database.azure.com
tgt-petclinic-mysql-18632,Azure Database for MySQL flexible server,rg-petclinic-migration,Southeast Asia,Azure subscription 1,https://portal.azure.com#resource/subscriptions/7b5be852-a743-449b-9bd1-834ed8a7148b/resourceGroups/rg-petclinic-migration/providers/Microsoft.DBforMySQL/flexibleServers/tgt-petclinic-mysql-18632
vnet-petclinic-migration,Virtual network,rg-petclinic-migration,Southeast Asia,Azure subscription 1,https://portal.azure.com#resource/subscriptions/7b5be852-a743-449b-9bd1-834ed8a7148b/resourceGroups/rg-petclinic-migration/providers/Microsoft.Network/virtualNetworks/vnet-petclinic-migration
workspace-rgpetclinicmigration49tn,Log Analytics workspace,rg-petclinic-migration,Southeast Asia,Azure subscription 1,https://portal.azure.com#resource/subscriptions/7b5be852-a743-449b-9bd1-834ed8a7148b/resourceGroups/rg-petclinic-migration/providers/Microsoft.OperationalInsights/workspaces/workspace-rgpetclinicmigration49tn
